TIME,OPEN,CLOSE,HIGH,LOW,VOLUME
1678951620,1915.21,1915.31,1914.2,1914.81,1010
1678951680,1914.75,1915.03,1914,1914.93,911
1678951740,1914.93,1915.12,1914.3,1914.555,924
1678951800,1914.59,1916.2,1914.1,1915.94,1307
1678951860,1915.89,1917.5,1915.4,1917.05,1324
1678951920,1917.12,1917.69,1916.6,1917.201,1449
1678951980,1917.135,1917.54,1916.3,1917.43,1435
1678952040,1917.39,1917.48,1916.6,1917.16,1343
1678952100,1917.14,1917.43,1916.6,1917.13,937
1678952160,1917.11,1917.77,1916.855,1917.63,918
1678952220,1917.645,1918.37,1917.1,1918.35,982
1678952280,1918.37,1918.41,1917.6,1917.665,919
1678952340,1917.7,1918.28,1917.3,1918.25,988
1678952400,1918.25,1919.18,1917.8,1919.17,1182
1678952460,1919.048,1919.59,1918.1,1918.625,1182
1678952520,1918.76,1918.84,1917.9,1918.45,886
1678952580,1918.41,1918.69,1917.5,1918.2,926
1678952640,1918.065,1918.74,1917.5,1918.48,1018
1678952700,1918.45,1919.16,1918.125,1918.57,1217
1678952760,1918.57,1918.68,1917.4,1918.09,1069
1678952820,1918.09,1919.41,1917.7,1919.25,946
1678952880,1919.341,1919.94,1919.1,1919.55,1212
1678952940,1919.5,1919.55,1918.745,1919.09,959
1678953000,1919.09,1919.79,1918.7,1919.575,1052
1678953060,1919.62,1919.95,1919.2,1919.6,852
1678953120,1919.54,1920.09,1918.7,1919.98,1027
1678953180,1919.98,1920.15,1919.165,1919.379,1058
1678953240,1919.41,1920.03,1919.1,1919.95,1273
1678953300,1919.98,1920.67,1919.6,1919.93,1495
1678953360,1919.93,1919.93,1918.7,1919.03,1073
1678953420,1919.03,1919.11,1917,1918.01,1381
1678953480,1918.08,1918.08,1916.84,1916.84,1227
1678953540,1916.861,1917.34,1916.5,1916.63,1317
1678953600,1916.63,1916.9,1915.5,1916.9,2061
1678953660,1916.905,1917.67,1916.3,1916.64,1792
1678953720,1916.6,1916.66,1915.5,1915.98,1630
1678953780,1916.1,1917.01,1915.895,1916.96,1545
1678953840,1916.93,1917.39,1916.275,1917.23,1289
1678953900,1917.21,1917.36,1916.215,1917.19,1445
1678953960,1917.034,1917.4,1916.2,1917.031,1290
1678954020,1917.09,1918.06,1916.6,1917.95,1201
1678954080,1917.881,1918.34,1917.4,1917.62,1339
1678954140,1917.561,1917.73,1916.225,1916.41,1189
1678954200,1916.36,1917.57,1915.9,1917.44,1329
1678954260,1917.53,1917.53,1916.6,1916.861,1225
1678954320,1916.9,1918.21,1916.5,1918.08,1493
1678954380,1918.03,1919.01,1917.7,1918.96,1570
1678954440,1918.94,1919.87,1918.6,1919.85,1342
1678954500,1919.82,1921.61,1919.3,1921.23,2155
1678954560,1921.23,1922.02,1920.7,1921.44,1777
1678954620,1921.4,1922.05,1921,1921.985,1679
1678954680,1922.09,1922.52,1921.7,1921.825,1643
1678954740,1921.88,1921.91,1920.185,1920.44,1626
1678954800,1920.41,1920.85,1919.7,1920.465,1523
1678954860,1920.54,1921.14,1919.9,1920.81,1451
1678954920,1920.86,1921.13,1920,1920.12,1633
1678954980,1920.12,1920.28,1919.2,1919.5,1251
1678955040,1919.54,1920.29,1919.1,1920.09,1053
1678955100,1920.08,1920.82,1919.3,1920.04,1499
1678955160,1920.05,1920.11,1918.9,1919.31,1167
1678955220,1919.3,1919.33,1918.345,1918.42,1268
1678955280,1918.55,1919.27,1918.2,1918.93,992
1678955340,1918.88,1920.11,1918.5,1920.02,1266
1678955400,1920.03,1920.21,1918.765,1919.01,1353
1678955460,1918.981,1919.12,1918.2,1918.835,1227
1678955520,1919.06,1919.11,1918,1918.45,1261
1678955580,1918.45,1918.48,1917.3,1917.67,1183
1678955640,1917.67,1917.73,1916.9,1917.49,1315
1678955700,1917.419,1917.53,1916.5,1916.7,1458
1678955760,1916.65,1917.55,1916.1,1917.13,1270
1678955820,1917.15,1917.45,1916.8,1917.055,1243
1678955880,1917.13,1917.21,1916.1,1916.59,1235
1678955940,1916.64,1917.19,1916.3,1916.905,1171
1678956000,1916.88,1918.11,1916.5,1918.03,1212
1678956060,1918.07,1919.11,1917.7,1919.11,1232
1678956120,1918.935,1919.26,1917.725,1917.77,1252
